full_tone_period_a	full_tone_period_b	full_tone_period_c	volumeA	volumeB	volumeC	mask_a	mask_b	mask_c	full_envelope_period	envelope_shape	noise_period
0	0	0	0	0	12	0|0|0	0|0|0	0|0|0	0	0	0
0	0	221	0	0	11	0|0|0	0|0|0	0|0|0	0	0	0
0	166	280	15	11	0	1|0|0	0|1|0	0|1|0	42	10	0
0	0	25	9	0	0	0|0|0	0|0|0	0|0|0	0	0	0
2655	0	79	16	0	0	0|1|0	1|1|0	0|1|0	0	0	0
0	0	77	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	221	0	0	0	0|1|0	0|0|0	0|1|0	0	0	0
0	0	220	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	277	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	20	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
866	296	75	15	16	0	0|1|0	0|1|0	0|1|0	0	8	0
1058	0	76	14	0	10	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	221	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	0	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	0	280	8	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	25	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	79	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	77	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	76	221	15	11	0	1|0|0	0|1|0	0|1|0	42	10	0
0	0	220	9	0	0	0|0|0	0|0|0	0|0|0	0	0	0
2655	0	277	16	0	0	0|1|0	0|1|0	0|1|0	0	0	0
0	0	20	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	75	0	15	0	0|0|0	0|0|0	0|0|0	0	0	0
0	23	76	0	0	9	0|0|0	0|0|0	0|0|0	0	0	0
0	0	221	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
866	0	280	15	16	0	0|0|0	0|0|0	0|0|0	0	8	0
1058	0	25	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	79	12	0	0	0|0|0	0|0|0	0|0|0	0	0	0
226	0	77	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1570	40	221	8	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	220	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	277	0	0	0	0|1|0	1|1|0	0|1|0	0	0	0
0	0	20	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	23	75	15	15	0	1|0|0	0|1|0	0|1|0	42	10	0
0	0	76	9	0	8	0|0|0	0|0|0	0|0|0	0	0	0
2655	0	221	16	0	0	0|1|0	1|1|0	0|1|0	0	0	0
0	0	280	0	11	0	0|1|0	0|1|0	0|1|0	0	0	0
0	0	25	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	79	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
0	0	77	0	0	0	0|0|0	0|0|0	0|0|0	0	0	0
866	0	221	15	16	0	0|0|0	0|0|0	0|0|0	0	8	0
1058	249	220	14	0	0	0|0|0	0|0|0	0|0|0	0	0	0
1280	0	277	12	0	0	0|1|0	1|1|0	0|1|0	0	0	0
226	0	20	10	0	0	0|0|0	0|0|0	0|0|0	0	0	0
